TCGA_mut	TCGA_norm	CCCC_mut	CCCC_norm	FET_p	Bonf_p	TCGA_perc	CCCC_perc
AKAP9	3	183	2	41	0.23677	1	1.613	4.651
AXIN2	6	180	4	39	0.09565	1	3.226	9.302
BRAF	5	181	3	40	0.17358	1	2.688	6.977
CHD5	0	186	2	41	0.03459	0.44967	0	4.651
FLT3	0	186	2	41	0.03459	0.44967	0	4.651
GLI2	2	184	1	42	0.4658	1	1.075	2.326
GNAS	5	181	3	40	0.17358	1	2.688	6.977
MUC4	1	185	4	39	0.00476	0.06191	0.538	9.302
SMO	0	186	2	41	0.03459	0.44967	0	4.651
TNC	5	181	3	40	0.17358	1	2.688	6.977
TOP1	0	186	5	38	0.00019	0.00249	0	11.628
TRRAP	3	183	2	41	0.23677	1	1.613	4.651
TSC2	1	185	2	41	0.09127	1	0.538	4.651
