TCGA_mut	TCGA_norm	CCCC_mut	CCCC_norm	FET_p	Bonf_p	TCGA_perc	CCCC_perc
ADAMTS12	6	180	0	43	0.597	1	3.226	0
ARID1A	9	177	0	43	0.21463	1	4.839	0
ARID2	5	181	0	43	0.58666	1	2.688	0
CBLB	5	181	0	43	0.58666	1	2.688	0
CDH11	5	181	0	43	0.58666	1	2.688	0
CTNNB1	9	177	1	42	0.69242	1	4.839	2.326
DAPK1	5	181	0	43	0.58666	1	2.688	0
DLC1	7	179	0	43	0.35272	1	3.763	0
DNMT1	6	180	0	43	0.597	1	3.226	0
EIF4A2	5	181	0	43	0.58666	1	2.688	0
EPHA3	6	180	0	43	0.597	1	3.226	0
ERBB2	5	181	0	43	0.58666	1	2.688	0
GRIN2A	8	178	0	43	0.35758	1	4.301	0
LIFR	9	177	1	42	0.69242	1	4.839	2.326
NRAS	16	170	0	43	0.04705	1	8.602	0
OPCML	6	180	0	43	0.597	1	3.226	0
PIK3CA	33	153	3	40	0.10329	1	17.742	6.977
RNF213	6	180	0	43	0.597	1	3.226	0
SMAD2	11	175	0	43	0.22579	1	5.914	0
THBS2	7	179	1	42	1	1	3.763	2.326
VCAN	8	178	0	43	0.35758	1	4.301	0
ZNF521	5	181	0	43	0.58666	1	2.688	0
